b'x',b'y',b'z',label
-1.102279,-1.799389,4.452822,background
1.867178,-0.596622,3.842313,background
-0.524181,1.868521,3.766139,background
-0.380611,0.969128,1.084074,background
0.552454,-0.21230900000000005,0.350281,background
-0.184954,1.1873049999999998,1.443902,background
0.205643,-0.7701479999999999,0.635417,background
1.079222,-0.327389,1.271904,background
-0.274919,-1.721429,3.038899,background
2.047779,-0.062677,4.197329,background
-0.4586770000000001,-1.443219,2.293266,background
0.304731,-0.8846360000000001,0.875442,background
-0.712336,-0.222392,0.5568810000000001,background
-0.271866,1.181767,1.470484,background
0.886202,-0.6541060000000001,1.213209,background
-2.035552,0.527648,4.421883,background
-1.459047,-0.463998,2.344113,background
1.230661,-0.00565,1.514559,background
0.088787,1.885329,3.562347,background
-0.314154,-0.32916100000000004,0.20704,background
-0.198253,0.64607,0.456712,background
-1.636217,1.049551,3.778762,background
1.221109,0.814383,2.154327,background
1.413135,1.549837,4.398942,background
-0.174494,-1.330937,1.801841,background
-1.464173,-0.912864,2.9771240000000003,background
-0.272111,-0.287575,0.156744,background
0.475061,-0.019337,0.226057,background
0.356141,0.130969,0.143989,background
0.324704,-1.157425,1.445065,background
0.503405,-1.086494,1.433886,background
1.744866,-0.392167,3.198353,background
-0.609417,-0.101021,0.381595,background
0.185611,1.424161,2.062686,background
0.932524,-0.377265,1.011931,background
0.947352,-0.919367,1.742711,background
0.784104,-0.482157,0.847295,background
-0.824933,-0.432685,0.8677309999999999,background
-2.28763,-0.016423,5.233519,background
1.355024,3.158503,11.812233,background
-0.935563,-0.69025,1.351723,background
-0.559721,-0.7630859999999999,0.8955879999999999,background
-0.7997029999999999,0.136989,0.658292,background
1.359749,0.761411,2.428663,background
1.28172,2.004646,5.661409,background
-0.904642,-0.344509,0.937065,background
-0.797661,-1.225535,2.1382,background
-0.953982,-0.340588,1.026082,background
-0.003892,0.5887760000000001,0.346673,background
0.16003299999999998,-2.400038,5.7857949999999985,background
0.8734879999999999,0.80643,1.413311,background
0.141565,-0.942801,0.908915,background
0.260333,-1.310573,1.785375,background
-0.952085,1.042794,1.993884,background
-0.902899,-0.057335,0.8185140000000001,background
0.574308,0.915492,1.167956,background
0.101522,0.126184,0.026229,background
0.761263,0.4275350000000001,0.762307,background
0.296898,1.054515,1.200149,background
-0.997523,-0.24277,1.05399,background
-1.584441,0.681898,2.975438,background
0.81552,1.011355,1.6879110000000002,background
0.208662,0.128593,0.060076,background
-0.249858,-1.247671,1.619113,background
-0.784596,-0.227374,0.667289,background
-1.2153,-1.85667,4.924181,background
1.409139,-1.504667,4.249695,background
0.824249,-0.4621560000000001,0.8929739999999999,background
0.510425,-0.208417,0.303971,background
-0.7510939999999999,-1.984265,4.501449,background
0.447174,-0.676147,0.65714,background
-0.389628,0.445557,0.35033000000000003,background
0.7202029999999999,0.327732,0.6261,background
-1.781722,0.166207,3.202157,background
0.62727,-0.423926,0.57318,background
-1.4346139999999998,0.286371,2.140125,background
0.00172,1.060978,1.125678,background
0.980895,2.049757,5.163661,background
0.060023,-1.454321,2.118652,background
0.5510109999999999,-0.163267,0.330269,background
0.927019,-0.738895,1.405331,background
-0.705561,0.32667,0.60453,background
0.793589,0.8617229999999999,1.37235,background
-0.284038,0.95534,0.993352,background
2.039943,-0.5696869999999999,4.485909,background
-0.21708400000000005,1.077601,1.208349,background
1.667125,-0.553852,3.086059,background
1.306267,-1.580525,4.2043940000000015,background
-1.073092,-0.05611,1.154674,background
-1.314728,-1.956388,5.555964,background
0.012204,0.917554,0.842053,background
0.955767,0.799359,1.552466,background
-0.034639,0.698471,0.489062,background
0.336992,-0.348602,0.235087,background
0.565355,-2.258513,5.420509,background
-0.146421,1.3941629999999998,1.965129,background
1.271813,-0.4637060000000001,1.832531,background
-1.011772,-0.23107,1.077077,background
0.147788,0.409156,0.18925,background
0.21597600000000006,-1.532991,2.396706,background
-2.2566900000000003,0.757508,5.66647,background
0.272979,0.648691,0.495318,background
-0.168254,-0.003823,0.028324,background
1.343446,-0.263397,1.874227,background
-0.797516,-0.035279000000000005,0.6372760000000001,background
0.794517,0.462757,0.8454020000000001,background
2.195908,0.178528,4.853885,background
-0.444916,0.751075,0.7620640000000001,background
0.813246,-0.560451,0.975475,background
-0.5798979999999999,0.015216999999999996,0.336514,background
-0.13451400000000002,0.571986,0.345263,background
-0.529555,-0.950585,1.1840389999999998,background
1.479273,0.117579,2.202075,background
0.202706,-0.208515,0.08456799999999999,background
0.43274,1.394151,2.130921,background
-0.8750709999999999,-0.610111,1.137985,background
-0.350835,-0.151677,0.146091,background
-0.122083,0.66802,0.461155,background
1.413248,-0.906743,2.819455,background
0.078723,-0.5761689999999999,0.338168,background
-1.326633,-0.184706,1.794072,background
-1.3095709999999998,0.376525,1.856747,background
-0.476107,-0.266562,0.297733,background
1.350215,1.734366,4.831106,background
1.249855,-0.674357,2.016895,background
1.825388,-1.44111,5.408837,background
1.93182,-3.635513,16.948885,background
-0.578266,-1.278288,1.968412,background
-1.248352,-0.637239,1.964456,background
-0.288354,1.181136,1.47823,background
-1.440057,-1.914547,5.739256,background
0.491215,-0.347195,0.361836,background
-0.783533,0.017575999999999998,0.614232,background
-0.000149,-0.239359,0.057293,background
0.648522,-2.257586,5.517278,background
-1.090664,-0.8403129999999999,1.895675,background
1.569662,-0.797205,3.099377,background
1.009672,1.418772,3.032352,background
-1.457258,0.629026,2.519274,background
0.460536,0.914866,1.049074,background
0.6746,-1.189815,1.870746,background
1.485582,-0.186028,2.241559,background
0.147272,-0.031435000000000005,0.022677000000000003,background
0.3537,-0.596541,0.4809640000000001,background
0.230612,-1.562653,2.495067,background
1.013889,0.502155,1.280131,background
1.829334,-1.801825,6.5930339999999985,background
0.282995,0.926297,0.938112,background
0.660259,-0.116164,0.449436,background
-0.7740520000000001,-0.657646,1.031655,background
-0.491096,-0.046089,0.243299,background
-1.831983,-0.764019,3.939889,background
-0.879058,-0.014455,0.772951,background
-0.01605,-2.197521,4.829356,background
-0.501073,-0.773521,0.8494079999999999,background
0.417383,1.211815,1.6427060000000002,background
-0.94343,0.320512,0.992788,background
0.068241,1.103797,1.223024,background
-0.052049,-0.524944,0.278275,background
0.920264,1.5336459999999998,3.198955,background
2.543922,-1.553033,8.88345,background
-0.708705,0.159884,0.527826,background
-0.983726,-0.588221,1.313721,background
1.993571,-1.507951,6.24824,background
0.115021,-1.671606,2.807497,background
0.466409,1.368619,2.090655,background
-1.615734,-2.290893,7.858786999999999,background
0.382887,-0.000651,0.146603,background
0.680338,-0.20082,0.503189,background
-1.187141,-0.143301,1.429839,background
-0.6767,0.283968,0.538561,background
-0.6241939999999999,-0.5213260000000001,0.6613979999999999,background
-0.13653800000000002,0.147095,0.04028,background
0.211545,1.570495,2.511207,background
0.399859,0.475071,0.38558,background
-0.026856,-0.113791,0.013669999999999998,background
1.835447,-0.433719,3.556977,background
0.587403,0.753414,0.912676,background
-0.551303,1.085973,1.483271,background
0.15095999999999998,-1.587979,2.544467,background
0.561753,1.020003,1.355972,background
-0.343646,-0.5379550000000001,0.407488,background
-1.965743,-0.186106,3.898779,background
0.664296,0.108357,0.45303,background
-1.059917,0.8280569999999999,1.809102,background
0.35188,-0.166745,0.151624,background
-1.272574,-0.475225,1.845284,background
0.545983,-0.173854,0.328323,background
-2.668287,0.248485,7.1814990000000005,background
1.459324,0.698965,2.618179,background
-0.478058,-0.795917,0.862023,background
0.116241,0.025743,0.014175,background
1.007993,0.38371,1.163283,background
-0.037171,-0.607169,0.370036,background
2.025989,-0.083371,4.111581,background
-2.062353,0.383794,4.400599,background
-0.603126,-0.178015,0.39545,background
-0.250966,0.047041,0.065197,background
-0.434777,-0.514183,0.453416,background
1.184646,0.070256,1.408322,background
0.28851,-0.390846,0.235998,background
0.806751,1.00914,1.669211,background
0.509091,-0.334796,0.371262,background
-1.657609,1.4588020000000002,4.875769999999998,background
